co_num,company,devID_set
192_19,国信数道信息科技有限公司,"['74', '75']"
192_7,上海卫生远程医学网络有限公司,"['133', '134']"
188_5,天田米亚基贸易（上海）有限公司,['217']
192_10,上海华鑫资产管理有限公司,"['49', '48']"
192_3,上海南洋万邦软件科技有限公司,"['124', '123', '117', '118']"
192_11,同方泰德智能科技（上海）有限公司,"['51', '50']"
180_7,上海艾尚广告有限公司,['195']
180_2,英杰维特投资有限公司,"['111', '112', '113', '114']"
188_9,微软（中国）有限公司,"['493', '535', '538', '527', '486']"
180_4,上海乂学教育科技有限公司,"['25', '13', '26', '277', '15', '27', '16', '14', '28']"
192_12,上海牙木通讯技术有限公司,"['56', '57']"
192_6,上海云赛智联信息科技有限公司,['132']
188_4,上海国威汽车科技有限公司,"['215', '216']"
192_16,华鑫思佰益融资租赁（上海）有限公司,['67']
188_3,浙江蓝奥实业有限公司,"['210', '212', '199', '213', '211', '196', '197', '198']"
188_8,上海佩琪信息技术有限公司,"['595', '44', '46', '49', '52', '45', '688', '47', '51', '53', '48', '50']"
180_10,上海青蓝管理咨询有限公司,['198']
188_12,上海和今信息科技有限公司,['244']
180_8,上海仪电智能科技有限公司,['196']
180_9,上海嘉绍信息技术有限公司,['197']
180_12,上海将王餐饮管理有限公司,['229']
180_3,明尼苏达矿业制造特殊材料（上海）有限公司,"['120', '123', '132', '130', '129', '121', '122', '131']"
188_2,中国共产党上海市徐汇区委员会组织部,"['195', '547', '555', '196']"
192_5,上海宝通汎球电子有限公司,['131']
188_7,上海新共赢信息科技有限公司,"['26', '38', '30', '32', '28', '34', '36']"
180_15,上海玖扬数码有限公司,"['158', '157']"
192_4,上海塞嘉电子科技有限公司,"['125', '126']"
192_13,上海寿全斋电子商务有限公司,"['59', '58']"
188_11,首秋（上海）文化传播有限责任公司,['241']
180_6,杭州海康威视数字技术股份有限公司上海分公司,"['177', '184', '165', '167', '168', '174', '185', '183', '186', '175', '176', '166']"
180_13,中国工商银行股份有限公司,['230']
188_1,上海沄砥商务咨询有限公司,"['169', '156', '141', '148', '140', '154', '162', '134', '142', '147', '124', '127', '123', '168', '132', '170', '146', '125', '133', '122', '160', '161', '178', '126', '155', '179']"
180_5,上海一条网络科技有限公司,"['141', '148', '150', '140', '139', '318', '138', '149', '147']"
192_15,上海尚能电力工程设计有限公司,['66']
192_14,中国移动通信集团上海有限公司,"['65', '64']"
180_11,开放智能机器（上海）有限公司,"['203', '201', '202', '200']"
188_6,上海鑫侨高企业发展有限公司,['243']
180_14,上海福赛特机器人有限公司,"['8', '9']"
192_17,商先创太阳能光伏科技(上海)有限公司,['72']
192_18,上海鹰瞳医疗科技有限公司,['73']
192_1,云赛智联股份有限公司,"['108', '141', '140', '109', '139', '142']"
192_2,上海云海万邦数据科技有限公司,"['116', '115']"
192_9,岛津企业管理（中国）有限公司,"['473', '469', '450', '447', '466']"
180_1,福建南平南孚电池有限公司,['109']
192_8,艾地盟（上海）管理有限公司,"['255', '420', '307', '397', '416', '428']"
188_10,上海竟跃网络科技有限公司,"['66', '62', '65', '67', '59', '61', '58', '64', '60', '70']"
